题目ID,文件名称,相对文件路径,年份,试卷类型,试卷名称,原卷题号,知识板块,标签,包含TikZ绘图,题型,难度星级,包含解析,组卷引用次数,备注,初次录入的时间,最后修改时间,题干,答案,解析
164,2025-M-港梦杯-18-导数,导数\2025\2025-M-港梦杯-18-导数.tex,2025,M,港梦杯,18,导数,,否,解答题,,是,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"记函数 $f_a(x)=\sin x+\sin ax(a>0)$，当 $a\in \mathbf{Q}$ 时，$f_a(x)$ 最大值为 $M_a$；当 $a\notin \mathbf{Q}$ 时，记 $M_a=2$.

(1) 求 $M_3$;

(2) 讨论 $f_{\pi}(x)$ 在 $(0, \dfrac{16\pi}{\pi+1})$ 的极值点个数;

(3) 证明：$M_a \geqslant M_3$.",,"(1) $f_3(x)=\sin x+\sin 3x=4\sin x-4\sin^3 x$. 令 $t=\sin x\in [-1,1]$，$g(t)=4t-4t^3$，则
$$
\begin{array}{|c|c|c|c|c|c|}
\hline
t & [-1,-\sqrt{3}/3) & -\sqrt{3}/3 & (-\sqrt{3}/3,\sqrt{3}/3) & \sqrt{3}/3 & (\sqrt{3}/3,1] \\
\hline
g'(t) & - & 0 & + & 0 & - \\
\hline
g(t) & \searrow & \text{极小值} & \nearrow & \text{极大值} & \searrow \\
\hline
\end{array}
$$
因此 $M_3=g(t)_{\max}=\max\{g(-1), g(\sqrt{3}/3)\}=8\sqrt{3}/9$.

(2) 记 $A=(\pi+1)/2$，$B=(\pi-1)/2$，则
$$
f_{\pi}(x)=\sin x+\sin \pi x=2\sin Ax \cos Bx,
$$
因此 $f_{\pi}(x)$ 在 $[0, 16\pi/(\pi+1)]$ 有
$$
0, \frac{2\pi}{\pi+1}, \frac{5\pi}{\pi+1}, \cdots, \frac{16\pi}{\pi+1}, \quad \frac{\pi}{\pi-1}, \frac{3\pi}{\pi-1}, \frac{5\pi}{\pi-1}, \frac{7\pi}{\pi-1}
$$
共 13 个零点. 若相邻两个零点之间没有极值点，那么 $y=f(x)$ 在该区间单调，至多只有一个零点，矛盾. 下面证明相邻两个零点之间至多只有一个极值点. 在相邻零点间总有 $f_{\pi}(x)\neq 0$，因此可设
$$
h(x)=f'_{\pi}(x)/f_{\pi}(x)=A\cot Ax - B\tan Bx.
$$
根据正切函数的单调性，$y=h(x)$ 在 $f(x)$ 相邻零点之间严格递减，至多只有一个零点.

综上所述，$f_{\pi}(x)$ 在 $(0, 16\pi/(\pi+1))$ 恰有 12 个极值点.

(3) 证明一. 记 $\theta=\arcsin \sqrt{3}/3$，则 $f_3(\theta)=M_3$. 由 $f_a(x/a)=f_{1/a}(x)$ 知 $M_a=M_{1/a}$，故不妨设 $a \geqslant 1$. 由正弦函数的单调性，$\sin x \geqslant \sin \theta$ 对 $x\in [\theta, \pi-\theta]$ 恒成立. 因此只需证明存在 $x_0\in [\theta, \pi-\theta]$，使得 $\sin ax_0 = \sin 3\theta$. 此时
$$
f_a(x_0)=\sin x_0+\sin ax_0 \geqslant \sin \theta+\sin 3\theta=M_3.
$$
记区间 $I=[a\theta, a(\pi-\theta)]$，显然只需考虑其长度 $|I|=a(\pi-2\theta)<2\pi$ 的情形.
\begin{itemize}
\item 当 $1\leqslant a \leqslant 3$ 时，$a\theta \leqslant 3\theta \leqslant \pi-\theta \leqslant a(\pi-\theta)$，故取 $ax_0=3\theta \in I$ 满足条件;
\item 当 $a>3$ 时，$a\theta \leqslant 3(\pi-\theta) < a(\pi-\theta)$，故取 $ax_0=3(\pi-\theta) \in I$ 满足条件.
\end{itemize}
综上所述，$M_a=\sup f_a(x) \geqslant M_3$ 总成立，得证.

证明二. 显然只需要考虑 $a\in \mathbf{Q}$ 的情形. 设 $a=p/q$，其中 $p,q$ 为互素的正整数. 注意
$$
f_{p/q}(x)=\sin(q\cdot \frac{x}{q})+\sin(p\cdot \frac{x}{q}),
$$
因此只需考虑 $f(x)=\sin px+\sin qx$ 的最大值在 $p,q$ 变化时的最小值即可. 和差化积：
$$
f(x)=2\sin \frac{(p+q)x}{2}\cos \frac{(p-q)x}{2}.
$$
令 $x_k=(4k+1)\pi/(p+q)$，$\theta_k=x_k(p-q)/2$，则
$$
f(x_k)=2\sin(2k+\frac{1}{2})\pi \cos \frac{x_k(p-q)}{2}=2\cos \theta_k.
$$
考虑到 $\gcd(p,q)=1$，且
$$
\theta_{k+1}-\theta_k=\frac{2\pi(p-q)}{p+q},
$$
因此
$$
\max_{x\in \mathbb{R}} f(x) \geqslant \max_{k \geqslant 0} f(x_k) \geqslant \begin{cases} 2\cos \dfrac{\pi}{2(p+q)}, & p+q \text{ 奇}, \\ 2\cos \dfrac{\pi}{p+q}, & p+q \text{ 偶}. \end{cases}
$$
注意到当 $m \geqslant 5$ 时，$2\cos(\pi/m) > 8\sqrt{3}/9$，因此只需验证 $p+q$ 为 2 或 4 的情况，显然成立."
200,2025-M-2025 年“Fiddie 联盟”模拟测试-11-集合,集合\2025\2025-M-2025 年“Fiddie 联盟”模拟测试-11-集合.tex,2025,M,2025 年“Fiddie 联盟”模拟测试,11,集合,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"给定空间中的一个多面体 $\Gamma$. 为了衡量 $\Gamma$ 与正方体的接近程度, 需要定义一个衡量的指标 $f(\Gamma)$, 满足: \circled{1} $f(\Gamma)\in [0,1]$; \circled{2} 当 $\Gamma$ 是正方体时, $f(\Gamma)=1$.

记 $\Gamma_0$ 为包含 $\Gamma$ 的最小正方体, 下面几种 $f(\Gamma)$ 的定义方式中, 满足 \circled{1}\circled{2} 的是 (\hspace{1cm})
\begin{choices}
\choice{{$f(\Gamma)=\dfrac{6^3\times (\Gamma\text{ 的体积})^2}{(\Gamma\text{ 的表面积})^3}$}}
\choice{{$f(\Gamma)=\dfrac{\Gamma_0\text{ 的所有棱长之和}}{\Gamma\text{ 的所有棱长之和}}$}}
\choice{{$f(\Gamma)=\dfrac{\Gamma\text{ 的体积}}{\Gamma_0\text{ 的体积}}$}}
\choice{{$f(\Gamma)=\dfrac{\Gamma\text{ 的最短棱的长度}}{\Gamma\text{ 的最长棱的长度}}$}}
\end{choices}",,
208,2026-M-深圳市高三年级第一次调研考试-18-导数,导数\2026\2026-M-深圳市高三年级第一次调研考试-18-导数.tex,2026,M,深圳市高三年级第一次调研考试,18,导数,,否,解答题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知函数 $f(x)=\ln x-a\sqrt{x+1}+4$．

（1）当 $a=\sqrt{3}$ 时，求 $f(x)$ 的单调区间；

（2）若 $f(x)$ 有两个零点．

（i）求 $a$ 的取值范围；

（ii）证明：$f(x)<\dfrac{2}{\sqrt{a^2+1}-1}$．",,
209,2026-M-武汉市2026届高中毕业生三月调研考试-19-数列,数列\2026\2026-M-武汉市2026届高中毕业生三月调研考试-19-数列.tex,2026,M,武汉市2026届高中毕业生三月调研考试,19,数列,,否,解答题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"有 $n$ 张编号分别为 $1$ 到 $n$ 的卡片，横向随机排列。对于这 $n$ 张卡片，初始状态下单片标号从左到右为 $A_1, A_2, \cdots, A_n$，记此时的卡片排列为 $(A_1, A_2, \cdots, A_n)$。对这 $n$ 张卡片的排列进行如下三步操作：  
1. 取出最左边的卡片，记其标号为 $k$；  
2. 剩余卡片中，标号小于 $k$ 的卡片按照原排列中的从左到右顺序依次为 $L_1, L_2, \cdots, L_{k-1}$（若不存在则为空），标号大于 $k$ 的卡片按照原排列中的从左到右顺序依次为 $R_1, R_2, \cdots, R_{n-k}$（若不存在则为空）；  
3. 对这 $n$ 张卡片重新排列，得到新排列：$(L_1, L_2, \cdots, L_{k-1}, k, R_1, R_2, \cdots, R_{n-k})$。  
每进行完上述三步操作，称为一次“完整操作”。

（1）若初始排列为 $(3,5,2,4,1)$，写出连续经过两次完整操作后得到的新排列；

（2）求初始排列经过一次完整操作后恰好能得到 $(1,2,\cdots,n)$ 的顺序排列的概率；

（3）记初始排列中有 $B_n$ 个排列种数能经过连续若干次完整操作后能得到 $(1,2,\cdots,n)$ 的顺序排列，当 $n\geq 2$ 时，证明：$B_{n+1}\leq nB_n + B_{n-1}$。",,
210,2026-M-2026年“数海漫游”第一次模拟考试-19-导数,导数\2026\2026-M-2026年“数海漫游”第一次模拟考试-19-导数.tex,2026,M,2026年“数海漫游”第一次模拟考试,19,导数,,否,解答题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"设 $a>0$，函数 $f(x)=\ln(a+x)-\ln(a-x)$，$x\in[0,a)$。

（1）若 $a=1$，证明：$f'(x)\leq0$；

（2）若 $f(x)$ 在 $[0,a)$ 上不是单调函数，求 $a$ 的取值范围。",,
211,2026-M-泉州市2026届高中毕业班模拟考试(一)-18-导数,导数\2026\2026-M-泉州市2026届高中毕业班模拟考试(一)-18-导数.tex,2026,M,泉州市2026届高中毕业班模拟考试(一),18,导数,,否,解答题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知函数 $f(x)=e^x-\ln x-ax-1$。

（1）证明：$f(x)$ 有且只有一个极值点；

（2）若 $f(x)$ 恰有两个零点。

\quad（i）证明：$a>e-1$；

\quad（ii）记 $f(x)$ 的极值点为 $x_0$，若 $m(x_0-\ln x_0)\leqslant a$，求 $m$ 的取值范围。",,
212,2026-M-2026年青岛市高三年级第一次适应性检测-17-导数,导数\2026\2026-M-2026年青岛市高三年级第一次适应性检测-17-导数.tex,2026,M,2026年青岛市高三年级第一次适应性检测,17,导数,,否,解答题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知函数 $f(x)=ax^2-\ln x$。

（1）讨论 $f(x)$ 的单调性；

（2）若存在 $x_1,x_2\in[1,3]$，$x_2-x_1\ge1$，使得 $f(x_1)=f(x_2)$，求 $a$ 的最大值。",,
230,2022-XK-浙江学考-16-函数,函数\2022\2022-XK-浙江学考-16-函数.tex,2022,XK,浙江学考,16,函数,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知 $a\in\mathbb{R}$，设 $A(x_1,y_1)$，$B(x_2,y_2)$ 是函数 $y=(x-a)^2$ 与 $y=1-\sin x$ 图象的两个公共点，记 $f(a)=|x_1-x_2|$．

\begin{choices}
\choice{{函数 $f(a)$ 是周期函数，最小正周期为 $\pi$}}
\choice{{函数 $f(a)$ 在区间 $(0,\dfrac{\pi}{2})$ 上单调递减}}
\choice{{函数 $f(a)$ 的图象是轴对称图形}}
\choice{{函数 $f(a)$ 的图象是中心对称图形}}
\end{choices}",,
244,2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-1-集合,集合\2026\2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-1-集合.tex,2026,M,江苏南京市、盐城市2026届高三年级第一次模拟考试,1,集合,集合,否,选择题,2,是,0,好的,2026-07-07 19:49:04,2026-07-07 19:49:04,"设全集 $U=\{1,2,3,4\}$，集合 $A=\{1,a-2\}$，$\complement_U A=\{3,4\}$，则 $a=$
(\hspace{1cm})
\begin{choices}
\choice{{$4$}}
\choice{{$5$}}
\choice{{$7$}}
\choice{{$9$}}
\end{choices}",A,"因为 $\complement_U A=\{3,4\}$，$U=\{1,2,3,4\}$，所以 $A=\{1,2\}$.

又 $A=\{1,a-2\}$，所以 $a-2=2$，解得 $a=4$.

故选 \boxed{A}."
245,2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-10-函数,函数\2026\2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-10-函数.tex,2026,M,江苏南京市、盐城市2026届高三年级第一次模拟考试,10,函数,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知函数 $f(x)=\ln(\cos x)-|x|$，则
(\hspace{1cm})
\begin{choices}
\choice{{$f(x)$ 的定义域为 $\left\{x\mid -\dfrac{\pi}{2}+2k\pi<x<\dfrac{\pi}{2}+2k\pi,k\in\mathbb{Z}\right\}$ }}
\choice{{$f(x)$ 是偶函数 }}
\choice{{$f(x)$ 在 $\left(0,\dfrac{\pi}{2}\right)$ 上单调递增 }}
\choice{{$y=f(x)+\pi$ 有且仅有 2 个零点}}
\end{choices}",,
